identifier,organism,kingdom
P78527,Homo sapiens,Metazoa
P40962,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P93022,Arabidopsis thaliana,Viridiplantae
P52348,Human herpesvirus 6A (strain Uganda-1102),Viruses
P05476,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),Fungi
O13472,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),Fungi
P45903,Bacillus subtilis (strain 168),Bacteria
Q64756,Fowl adenovirus A serotype 1 (strain CELO / Phelps),Viruses
P18583,Homo sapiens,Metazoa
O95239,Homo sapiens,Metazoa
Q8ZQD5,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Bacteria
P36598,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q8K8I6,not found,
Q45119,Bacteroides fragilis,Bacteria
P14309,Holothuria tubulosa,Metazoa
P36704,Human adenovirus A serotype 12,Viruses
Q9C0Z1,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q01538,Homo sapiens,Metazoa
P29840,Streptococcus pyogenes,Bacteria
P51826,Homo sapiens,Metazoa
O43823,Homo sapiens,Metazoa
O73954,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),Archaea
P55613,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
P32338,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P0ACU3,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
O60281,Homo sapiens,Metazoa
P49790,Homo sapiens,Metazoa
P68913,not found,
P19828,not found,
P18809,Escherichia coli,Bacteria
P27641,Mus musculus,Metazoa
Q01239,Crypthecodinium cohnii,Protists
Q9C5P0,Arabidopsis thaliana,Viridiplantae
P17211,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
P25847,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P47240,Canis lupus familiaris,Metazoa
P17147,Human cytomegalovirus (strain AD169),Viruses
P15417,Enterobacteria phage I2-2,Viruses
P20311,Enterobacteria phage T3,Viruses
P43161,Streptomyces lividans,Bacteria
P19822,Escherichia phage T5,Viruses
Q02479,Bovine herpesvirus 4 (strain DN-599),Viruses
P20710,Staphylococcus phage L54a,Viruses
P42551,Arabidopsis thaliana,Viridiplantae
P40287,Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM),Protists
P07065,Enterobacteria phage T4,Viruses
Q00790,Stutzerimonas stutzeri,Bacteria
O55055,Mus musculus,Metazoa
Q58113,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P80304,Sepia officinalis,Metazoa
P13275,Scyliorhinus canicula,Metazoa
P0ACP3,Escherichia coli O157:H7,Bacteria
Q10116,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
P52696,Escherichia coli (strain K12),Bacteria
P67671,not found,
O70736,Red sea bream iridovirus,Viruses
P08979,Streptomyces phage phiC31,Viruses
P12351,not found,
P14998,BK polyomavirus (strain AS),Viruses
P22147,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P52959,Fusarium vanettenii,Fungi
P32389,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q57532,Mycobacterium leprae (strain TN),Bacteria
Q03410,Rattus norvegicus,Metazoa
Q22236,Caenorhabditis elegans,Metazoa
Q8IN94,Drosophila melanogaster,Metazoa
P0ACH0,Escherichia coli O157:H7,Bacteria
Q9Z985,Chlamydia pneumoniae,Bacteria
P36558,Escherichia coli,Bacteria
P11901,Escherichia coli,Bacteria
Q24762,Drosophila virilis,Metazoa
P77365,Escherichia coli (strain K12),Bacteria
P24850,Bovine polyomavirus,Viruses
Q63630,Rattus norvegicus,Metazoa
P23393,Streptomyces albus G,Bacteria
P58497,Yersinia pestis,Bacteria
P37682,Escherichia coli (strain K12),Bacteria
P22035,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q23976,Drosophila melanogaster,Metazoa
P06990,Escherichia coli,Bacteria
P67440,not found,
Q9Z205,Mus musculus,Metazoa
Q22910,Caenorhabditis elegans,Metazoa
Q9USY4,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P40950,Bacillus subtilis (strain 168),Bacteria
P33339,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P11866,Escherichia coli (strain K12),Bacteria
Q9Y5B6,Homo sapiens,Metazoa
Q99335,Bacillus thuringiensis subsp. berliner,Bacteria
Q86QH9,Ostrea edulis,Metazoa
P07387,Human cytomegalovirus,Viruses
Q54513,Streptococcus pneumoniae,Bacteria
Q05153,Arabidopsis thaliana,Viridiplantae
P51593,Rattus norvegicus,Metazoa
P25279,Herpetosiphon aurantiacus,Bacteria
O33813,Staphylococcus xylosus,Bacteria
Q9Y7L8,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q09228,Caenorhabditis elegans,Metazoa
P37928,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Bacteria
P14816,Enterobacteria phage phi80,Viruses
Q94890,Drosophila melanogaster,Metazoa
P17311,Enterobacteria phage T4,Viruses
P13967,Escherichia coli,Bacteria
P20224,Sulfolobus spindle-shape virus 1,Viruses
Q38504,Bacillus phage phi29,Viruses
P07908,Bacillus subtilis (strain 168),Bacteria
Q09184,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P28745,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P08956,Escherichia coli (strain K12),Bacteria
Q12968,Homo sapiens,Metazoa
O05023,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q63505,Rattus norvegicus,Metazoa
Q60976,Mus musculus,Metazoa
P0A9M1,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
P06965,Escherichia coli (strain K12),Bacteria
P29280,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P02255,Drosophila melanogaster,Metazoa
P15822,Homo sapiens,Metazoa
P12274,Gallus gallus,Metazoa
P0ACS8,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
P03546,Cauliflower mosaic virus (strain CM-1841),Viruses
Q26486,Spodoptera frugiperda,Metazoa
Q05286,Mycobacterium phage L5,Viruses
P59338,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
Q84J78,Arabidopsis thaliana,Viridiplantae
P18679,Escherichia phage HK022,Viruses
P30339,Alkalihalophilus pseudofirmus (strain ATCC BAA-2126 / JCM 17055 / OF4),Bacteria
P49869,Drosophila melanogaster,Metazoa
P77569,Escherichia coli (strain K12),Bacteria
P28340,Homo sapiens,Metazoa
P35692,Podospora anserina,Fungi
P97863,Mus musculus,Metazoa
Q09376,Caenorhabditis elegans,Metazoa
P68588,Yersinia pestis,Bacteria
P68676,Xanthomonas phage phiLf,Viruses
P54788,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),Fungi
P79769,Gallus gallus,Metazoa
O94697,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q8RA66,Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4),Bacteria
P22058,Drosophila melanogaster,Metazoa
Q9BQW3,Homo sapiens,Metazoa
P27336,Lily symptomless virus,Viruses
Q58006,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P33358,Escherichia coli (strain K12),Bacteria
Q9Z7G4,Chlamydia pneumoniae,Bacteria
Q10630,not found,
Q24312,Drosophila melanogaster,Metazoa
P37728,Dickeya chrysanthemi,Bacteria
P39343,Escherichia coli (strain K12),Bacteria
Q00566,Rattus norvegicus,Metazoa
P22537,Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110),Bacteria
O76332,Oxytricha trifallax,Protists
P52662,Dickeya dadantii (strain 3937),Bacteria
Q10067,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P79051,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q46397,Chlamydia trachomatis serovar L2 (strain ATCC VR-902B / DSM 19102 / 434/Bu),Bacteria
P17637,Enterobacteria phage PRD1,Viruses
P21538,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P67438,not found,
P03603,Brome mosaic virus,Viruses
P52044,Escherichia coli (strain K12),Bacteria
P09547,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q90867,Gallus gallus,Metazoa
P15593,Trypanosoma brucei gambiense,Protists
P27343,Caulobacter vibrioides (strain ATCC 19089 / CIP 103742 / CB 15),Bacteria
O22010,Shigella phage SfV,Viruses
P06921,Human papillomavirus 5,Viruses
P0AF11,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
O53712,not found,
P54394,Bacillus subtilis (strain 168),Bacteria
P13002,Drosophila melanogaster,Metazoa
P13991,Escherichia coli,Bacteria
P25941,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
Q58184,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q9ZJA1,Helicobacter pylori (strain J99 / ATCC 700824),Bacteria
Q00312,Candida albicans,Fungi
P12258,Drosophila melanogaster,Metazoa
Q8N2W9,Homo sapiens,Metazoa
P0ABT3,Escherichia coli O157:H7,Bacteria
P57220,Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS),Bacteria
Q9PQS0,Ureaplasma parvum serovar 3 (strain ATCC 700970),Bacteria
P40759,Bacillus subtilis (strain 168),Bacteria
Q58940,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P40796,Drosophila melanogaster,Metazoa
Q03935,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P40114,Bacillus anthracis,Bacteria
P41900,Drosophila melanogaster,Metazoa
Q01522,Drosophila melanogaster,Metazoa
P14629,Xenopus laevis,Metazoa
P37510,Bacillus subtilis (strain 168),Bacteria
P13870,Enterobacteria phage 82,Viruses
P52605,Escherichia coli,Bacteria
Q9Y9V7,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),Archaea
P21940,Lactiplantibacillus pentosus,Bacteria
P0A9G0,Escherichia coli O157:H7,Bacteria
P33651,Streptomyces cacaoi,Bacteria
P72131,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Bacteria
Q8CGW4,Mus musculus,Metazoa
P73625,Synechocystis sp. (strain PCC 6803 / Kazusa),Bacteria
Q9Y618,Homo sapiens,Metazoa
P51705,Haemophilus phage HP1 (strain HP1c1),Viruses
Q61329,Mus musculus,Metazoa
Q9U7E0,Caenorhabditis elegans,Metazoa
Q7VMD6,Haemophilus ducreyi (strain 35000HP / ATCC 700724),Bacteria
P33194,Chlorocebus aethiops,Metazoa
P17305,Bos taurus,Metazoa
Q10528,not found,
P25846,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q91193,Oncorhynchus mykiss,Metazoa
P07676,Escherichia coli,Bacteria
O07127,Latilactobacillus sakei,Bacteria
P03671,Pseudomonas phage Pf1,Viruses
P12305,Tetrahymena pyriformis,Protists
P27426,Bovine herpesvirus 4 (strain DN-599),Viruses
Q9ZMY3,Helicobacter pylori (strain J99 / ATCC 700824),Bacteria
P24647,Autographa californica nuclear polyhedrosis virus,Viruses
P0ADH4,Escherichia coli O111:H-,Bacteria
O83046,Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Bacteria
P48383,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
O74045,Cenarchaeum symbiosum (strain A),Archaea
P0A9G2,Escherichia coli (strain K12),Bacteria
Q10115,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
Q51761,Pseudomonas fluorescens,Bacteria
P32862,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O67779,Aquifex aeolicus (strain VF5),Bacteria
P46068,Escherichia coli (strain K12),Bacteria
P14565,Escherichia coli (strain K12),Bacteria
P52958,Fusarium vanettenii,Fungi
O69302,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),Bacteria
P39650,Bacillus subtilis (strain 168),Bacteria
P09276,Varicella-zoster virus (strain Dumas),Viruses
P37371,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805),Bacteria
P46100,Homo sapiens,Metazoa
Q00942,African swine fever virus (strain Badajoz 1971 Vero-adapted),Viruses
Q07683,Bacillus subtilis (strain 168),Bacteria
P29284,Lacticaseibacillus casei,Bacteria
P22560,not found,
P11189,Escherichia phage P1,Viruses
P73532,Synechocystis sp. (strain PCC 6803 / Kazusa),Bacteria
P30317,Thermococcus litoralis,Archaea
Q8ZYL6,Pyrobaculum aerophilum (strain ATCC 51768 / DSM 7523 / JCM 9630 / CIP 104966 / NBRC 100827 / IM2),Archaea
P14506,Staphylococcus aureus,Bacteria
P40971,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q7VKV0,Haemophilus ducreyi (strain 35000HP / ATCC 700724),Bacteria
P20044,Lactiplantibacillus plantarum,Bacteria
Q38796,Arabidopsis thaliana,Viridiplantae
Q823K0,Chlamydia caviae (strain ATCC VR-813 / DSM 19441 / 03DC25 / GPIC),Bacteria
P04546,Enterobacteria phage T4,Viruses
Q58907,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q24432,Drosophila melanogaster,Metazoa
P03127,Cottontail rabbit papillomavirus (strain Kansas),Viruses
P38078,Candida tropicalis,Fungi
P23914,Bacillus subtilis (strain 168),Bacteria
P39769,Drosophila melanogaster,Metazoa
P61635,Bos taurus,Metazoa
P34111,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P39842,Bacillus subtilis (strain 168),Bacteria
O34827,Bacillus subtilis (strain 168),Bacteria
Q9AK82,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
P67702,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
P09546,Escherichia coli (strain K12),Bacteria
Q86US8,Homo sapiens,Metazoa
P42547,Acholeplasma phage L2,Viruses
P39127,Bacillus subtilis (strain 168),Bacteria
P80001,Sepia officinalis,Metazoa
P47974,Homo sapiens,Metazoa
P68732,not found,
O83295,Treponema pallidum (strain Nichols),Bacteria
P11675,Suid herpesvirus 1 (strain Indiana-Funkhauser / Becker),Viruses
Q9VF30,Drosophila melanogaster,Metazoa
P0ACH3,Escherichia coli O157:H7,Bacteria
P67669,not found,
Q9UZ54,Pyrococcus abyssi (strain GE5 / Orsay),Archaea
Q02835,Micromonospora viridifaciens,Bacteria
O63852,Sarcophyton glaucum,Metazoa
Q93WU8,Arabidopsis thaliana,Viridiplantae
Q9H503,Homo sapiens,Metazoa
P19323,Escherichia coli (strain K12),Bacteria
P78424,Homo sapiens,Metazoa
O94160,Alternaria alternata,Fungi
Q9JL35,Mus musculus,Metazoa
P10479,Enterobacteria phage PRD1,Viruses
P35168,Priestia megaterium (strain DSM 319 / IMG 1521),Bacteria
Q00577,Homo sapiens,Metazoa
P06116,Methanosarcina barkeri,Archaea
Q80YR5,Mus musculus,Metazoa
P35251,Homo sapiens,Metazoa
P18629,Streptococcus agalactiae,Bacteria
P20665,Moraxella bovis,Bacteria
Q7N976,Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01),Bacteria
Q93CE9,Trichodesmium erythraeum (strain IMS101),Bacteria
P06627,Escherichia coli (strain K12),Bacteria
P21867,Escherichia coli,Bacteria
Q57682,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q15648,Homo sapiens,Metazoa
P55626,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
P47927,Arabidopsis thaliana,Viridiplantae
P43634,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9UL49,Homo sapiens,Metazoa
P51237,Porphyra purpurea,Protists
Q9NRM2,Homo sapiens,Metazoa
O10368,Orgyia pseudotsugata multicapsid polyhedrosis virus,Viruses
P54722,Bacillus subtilis (strain 168),Bacteria
Q89B27,Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp),Bacteria
P18494,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P07261,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P31778,Ralstonia nicotianae (strain ATCC BAA-1114 / GMI1000),Bacteria
Q9NAH2,Caenorhabditis elegans,Metazoa
Q9ZLL4,Helicobacter pylori (strain J99 / ATCC 700824),Bacteria
O49498,Arabidopsis thaliana,Viridiplantae
P33520,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P39784,Bacillus subtilis (strain 168),Bacteria
P09775,Drosophila melanogaster,Metazoa
P0A977,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
O44960,Caenorhabditis elegans,Metazoa
Q03576,Methanococcus voltae,Archaea
Q01108,Streptomyces hygroscopicus,Bacteria
Q9P2Y4,Homo sapiens,Metazoa
P75970,Escherichia coli (strain K12),Bacteria
Q87K77,Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633),Bacteria
O58782,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),Archaea
Q40152,Solanum lycopersicum,Viridiplantae
Q8R4S5,Mus musculus molossinus,Metazoa
Q9V134,Pyrococcus abyssi (strain GE5 / Orsay),Archaea
Q58352,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q60386,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
O13807,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
O70133,Mus musculus,Metazoa
P60231,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),Bacteria
P64327,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),Bacteria
P36816,Human papillomavirus 7,Viruses
P27476,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9J5B7,Fowlpox virus (strain NVSL),Viruses
P16694,not found,
P14164,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9T1U3,Acyrthosiphon pisum secondary endosymbiont phage 1,Viruses
P10427,Bacillus phage phi105,Viruses
O66861,Aquifex aeolicus (strain VF5),Bacteria
P23541,Escherichia phage T5,Viruses
O06987,Bacillus subtilis (strain 168),Bacteria
P03688,Escherichia phage lambda,Viruses
Q9V9A8,Drosophila melanogaster,Metazoa
O84905,Lacticaseibacillus casei,Bacteria
P0A9F0,Escherichia coli O157:H7,Bacteria
P53438,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O43422,Homo sapiens,Metazoa
Q8YQL3,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),Bacteria
Q02930,Homo sapiens,Metazoa
P08557,Escherichia phage Mu,Viruses
P36720,Human papillomavirus type 10,Viruses
P18416,Staphylococcus aureus,Bacteria
Q934T6,Salmonella typhi,Bacteria
P41046,Drosophila melanogaster,Metazoa
Q05913,Drosophila melanogaster,Metazoa
Q27355,Caenorhabditis elegans,Metazoa
P55565,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
P11107,Escherichia phage T5,Viruses
P24607,Pseudomonas savastanoi pv. phaseolicola,Bacteria
P03048,Bacillus phage SP01,Viruses
P28932,Equine herpesvirus 1 (strain Ab4p),Viruses
Q9V029,Pyrococcus abyssi (strain GE5 / Orsay),Archaea
P25425,Mus musculus,Metazoa
P87503,Human adenovirus E serotype 4,Viruses
P03010,Zea mays,Viridiplantae
Q51786,Pseudomonas fluorescens,Bacteria
P0A6X5,Escherichia coli O157:H7,Bacteria
Q19537,Caenorhabditis elegans,Metazoa
O05052,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q62414,Mus musculus,Metazoa
Q12753,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q08775,Mus musculus,Metazoa
Q8R890,Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4),Bacteria
O80294,Escherichia phage If1,Viruses
P30318,Lymantria dispar multicapsid nuclear polyhedrosis virus,Viruses
P17051,Pseudomonas oleovorans,Bacteria
P18016,Clostridium perfringens,Bacteria
Q98MD2,Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099),Bacteria
Q9V2F4,Pyrococcus abyssi (strain GE5 / Orsay),Archaea
Q02441,Stutzerimonas stutzeri,Bacteria
P51721,Haemophilus phage HP1 (strain HP1c1),Viruses
P75679,Escherichia coli (strain K12),Bacteria
Q01529,Podospora anserina,Fungi
P16942,Shigella sonnei,Bacteria
Q9URU2,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P27526,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
P28925,Equine herpesvirus 1 (strain Ab4p),Viruses
P19777,not found,
P03030,Escherichia coli (strain K12),Bacteria
O13339,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q07608,Rhizobium meliloti,Bacteria
P52667,Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Bacteria
Q46942,Escherichia coli (strain K12),Bacteria
P27556,Human papillomavirus type 41,Viruses
P45447,Drosophila melanogaster,Metazoa
O64235,Mycobacterium phage D29,Viruses
P28468,Halocynthia roretzi,Metazoa
P30979,Escherichia coli (strain K12),Bacteria
Q52279,Escherichia coli,Bacteria
P40331,Bacillus subtilis (strain 168),Bacteria
P30658,Mus musculus,Metazoa
Q95YE9,Caenorhabditis elegans,Metazoa
P03043,Enterobacteria phage 434,Viruses
Q10488,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q9Y829,Saccharomyces paradoxus,Fungi
Q57001,not found,
Q96T58,Homo sapiens,Metazoa
Q9KPS0,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),Bacteria
P11455,Drosophila melanogaster,Metazoa
Q9PQK9,Ureaplasma parvum serovar 3 (strain ATCC 700970),Bacteria
P08546,Human cytomegalovirus (strain AD169),Viruses
P03690,Enterobacteria phage T4,Viruses
P37398,Oryza sativa subsp. japonica,Viridiplantae
Q7WY76,Bacillus subtilis (strain 168),Bacteria
Q9VLA2,Drosophila melanogaster,Metazoa
Q02556,Homo sapiens,Metazoa
Q46087,Aminobacter aminovorans,Bacteria
Q8EWC5,Malacoplasma penetrans (strain HF-2),Bacteria
P0ACS1,Escherichia coli O157:H7,Bacteria
P14248,Plasmodium falciparum (isolate CDC / Honduras),Protists
Q03162,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P33244,Drosophila melanogaster,Metazoa
P46330,Bacillus subtilis (strain 168),Bacteria
O13862,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q9NZ71,Homo sapiens,Metazoa
P30020,Bovine herpesvirus 1.1 (strain P8-2),Viruses
P34437,Caenorhabditis elegans,Metazoa
Q94131,Caenorhabditis elegans,Metazoa
P30333,Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110),Bacteria
Q11107,Caenorhabditis elegans,Metazoa
P46118,Escherichia coli (strain K12),Bacteria
Q9LSE2,Arabidopsis thaliana,Viridiplantae
Q8FL24,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
P55449,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
P0A9V7,Escherichia coli O157:H7,Bacteria
Q01214,Mucor circinelloides f. lusitanicus,Fungi
P66798,Escherichia coli O157:H7,Bacteria
O60673,Homo sapiens,Metazoa
P24718,Actinobacillus pleuropneumoniae,Bacteria
P47175,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9ZLC8,Helicobacter pylori (strain J99 / ATCC 700824),Bacteria
P35074,Caenorhabditis briggsae,Metazoa
P40798,Drosophila melanogaster,Metazoa
P52685,Paracoccus denitrificans,Bacteria
P52693,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805),Bacteria
O13360,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
P41511,Ustilago maydis (strain 521 / FGSC 9021),Fungi
Q9ZVH3,Arabidopsis thaliana,Viridiplantae
O43593,Homo sapiens,Metazoa
P40379,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P11536,Drosophila melanogaster,Metazoa
Q03631,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P34877,Lactococcus lactis subsp. cremoris,Bacteria
P23801,Autographa californica nuclear polyhedrosis virus,Viruses
P14327,Dictyostelium discoideum,Protists
Q9PQ53,Ureaplasma parvum serovar 3 (strain ATCC 700970),Bacteria
P43684,Herpetosiphon aurantiacus,Bacteria
Q9ZPY0,Arabidopsis thaliana,Viridiplantae
Q84123,Odontoglossum ringspot virus (isolate Korean Cy),Viruses
P23737,Staphylococcus aureus,Bacteria
Q8KUV2,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805),Bacteria
Q03182,Staphylococcus phage phi11,Viruses
Q9T1U6,Acyrthosiphon pisum secondary endosymbiont phage 1,Viruses
Q8LK56,Arabidopsis thaliana,Viridiplantae
Q12766,Homo sapiens,Metazoa
Q9Y767,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
O45291,Caenorhabditis elegans,Metazoa
O43102,Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293),Fungi
P46908,Bacillus subtilis (strain 168),Bacteria
P10180,Drosophila melanogaster,Metazoa
P52701,Homo sapiens,Metazoa
P06227,Bacillus phage SP01,Viruses
P21260,Owenia fusiformis,Metazoa
Q9HSM2,Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1),Archaea
Q04310,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
P52392,Streptomyces actuosus,Bacteria
Q8WW38,Homo sapiens,Metazoa
P15038,Escherichia coli (strain K12),Bacteria
O33060,Mycobacterium leprae (strain TN),Bacteria
P23250,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q01954,Homo sapiens,Metazoa
P14064,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P33786,Escherichia coli,Bacteria
P34706,Caenorhabditis elegans,Metazoa
Q64201,Rattus norvegicus,Metazoa
Q57748,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P10486,Escherichia coli,Bacteria
